rank,cca3,country,continent,2023 population,2022 population,2020 population,2015 population,2010 population,2000 population,area (km²),density (km²),growth rate,world percentage
154,BHR,Bahrain,Asia,1485509,1472233,1477469,1362142,1213645,711442,765,1892,0.90%,0.02%
155,TLS,Timor-Leste,Asia,1360596,1341296,1299995,1205813,1088486,878360,14874,91,1.44%,0.02%
156,EST,Estonia,Europe,1322765,1326062,1329444,1314657,1331535,1396877,45227,31,-0.25%,0.02%
157,MUS,Mauritius,Africa,1300557,1299469,1297828,1293153,1283330,1215930,2040,641,0.08%,0.02%
158,CYP,Cyprus,Europe,1260138,1251488,1237537,1187280,1129686,948237,9251,136,0.69%,0.02%
159,SWZ,Eswatini,Africa,1210822,1201670,1180655,1133936,1099920,1030496,17364,70,0.76%,0.02%
160,DJI,Djibouti,Africa,1136455,1120849,1090156,1006259,919199,742033,23200,49,1.39%,0.01%
161,REU,Reunion,Africa,981796,974052,957822,922495,890130,785424,2511,391,0.80%,0.01%
162,FJI,Fiji,Oceania,936375,929766,920422,917200,905169,832509,18272,51,0.71%,0.01%
163,COM,Comoros,Africa,852075,836774,806166,730216,656024,536758,1862,458,1.83%,0.01%
164,GUY,Guyana,South America,813834,808726,797202,755031,747932,759051,214969,4,0.63%,0.01%
165,BTN,Bhutan,Asia,787424,782455,772506,743274,705516,587207,38394,21,0.64%,0.01%
166,SLB,Solomon Islands,Oceania,740424,724273,691191,612660,540394,429978,28896,26,2.23%,0.01%
167,MAC,Macau,Asia,704149,695168,676283,615239,557297,431896,32.9,21403,1.29%,0.01%
168,LUX,Luxembourg,Europe,654768,647599,630399,569408,507070,435628,2586,254,1.11%,0.01%
169,MNE,Montenegro,Europe,626485,627082,629048,633966,631044,633324,13812,47,-0.10%,0.01%
170,SUR,Suriname,South America,623236,618040,607065,575475,546080,478998,163820,4,0.84%,0.01%
171,CPV,Cape Verde,Africa,598682,593149,582640,552166,521212,458251,4033,148,0.93%,0.01%
172,ESH,Western Sahara,Africa,587259,575986,556048,491824,413296,270375,266000,2,1.96%,0.01%
173,MLT,Malta,Europe,535064,533286,515357,456579,418755,399212,316,1672,0.33%,0.01%
174,MDV,Maldives,Asia,521021,523787,514438,435582,361575,282507,300,1737,-0.53%,0.01%
175,BRN,Brunei,Asia,452524,449002,441725,421437,396053,333926,5765,86,0.78%,0.01%
176,BHS,Bahamas,North America,412623,409984,406471,392697,373272,325014,13943,41,0.64%,0.01%
177,BLZ,Belize,North America,410825,405272,394921,359871,322106,240406,22966,18,1.37%,0.01%
178,GLP,Guadeloupe,North America,395839,395752,395642,399089,403072,424067,1628,243,0.02%,0.00%
179,ISL,Iceland,Europe,375318,372899,366669,331060,318333,281462,103000,4,0.65%,0.00%
180,MTQ,Martinique,North America,366981,367507,370391,383515,392181,432543,1128,325,-0.14%,0.00%
181,MYT,Mayotte,Africa,335995,326101,305587,249545,211786,159215,374,898,3.03%,0.00%
182,VUT,Vanuatu,Oceania,334506,326740,311685,276438,245453,192074,12189,27,2.38%,0.00%
183,GUF,French Guiana,South America,312155,304557,290969,257026,228453,164351,83534,4,2.49%,0.00%
184,PYF,French Polynesia,Oceania,308872,306279,301920,291787,283788,250927,4167,89,0.85%,0.00%
185,NCL,New Caledonia,Oceania,292991,289950,286403,283032,261426,221537,18575,16,1.05%,0.00%
186,BRB,Barbados,North America,281995,281635,280693,278083,274711,264657,430,656,0.13%,0.00%
187,STP,Sao Tome and Principe,Africa,231856,227380,218641,201124,182138,143714,964,242,1.97%,0.00%
188,WSM,Samoa,Oceania,225681,222382,214929,203571,194672,184008,2842,81,1.48%,0.00%
189,CUW,Curacao,North America,192077,191163,189288,169572,159380,141424,444,433,0.48%,0.00%
190,LCA,Saint Lucia,North America,180251,179857,179237,175623,170935,159500,616,295,0.22%,0.00%
191,GUM,Guam,Oceania,172952,171774,169231,167978,164905,160188,549,320,0.69%,0.00%
192,KIR,Kiribati,Oceania,133515,131232,126463,116707,107995,88826,811,165,1.74%,0.00%
193,GRD,Grenada,North America,126183,125438,123663,118980,114039,107432,344,371,0.59%,0.00%
194,FSM,Micronesia,Oceania,115224,114164,112106,109462,107588,111709,702,165,0.93%,0.00%
195,JEY,Jersey,Europe,111802,110778,108319,100561,96151,86192,116,932,0.92%,0.00%
196,TON,Tonga,Oceania,107773,106858,105254,106122,107383,102603,747,150,0.86%,0.00%
197,SYC,Seychelles,Africa,107660,107118,105530,99240,92409,80060,452,234,0.51%,0.00%
198,ABW,Aruba,North America,106277,106445,106585,104257,100341,89101,180,590,-0.16%,0.00%
199,VCT,Saint Vincent and the Grenadines,North America,103698,103948,104632,106482,109308,113813,389,266,-0.24%,0.00%
200,VIR,United States Virgin Islands,North America,98750,99465,100442,102803,106142,108185,347,285,-0.72%,0.00%
201,ATG,Antigua and Barbuda,North America,94298,93763,92664,89941,85695,75055,442,214,0.57%,0.00%
202,IMN,Isle of Man,Europe,84710,84519,84046,83593,83828,75562,572,149,0.23%,0.00%
203,AND,Andorra,Europe,80088,79824,77700,71746,71519,66097,468,170,0.33%,0.00%
204,DMA,Dominica,North America,73040,72737,71995,70007,68755,68346,751,97,0.42%,0.00%
205,CYM,Cayman Islands,North America,69310,68706,67311,60911,54074,39658,264,289,0.88%,0.00%
206,BMU,Bermuda,North America,64069,64184,64031,63144,63447,61371,54,1186,-0.18%,0.00%
207,GGY,Guernsey,Europe,63544,63301,62794,61629,60782,59114,78,1009,0.38%,0.00%
208,GRL,Greenland,North America,56643,56466,56026,55895,56351,56184,2166086,0,0.31%,0.00%
209,FRO,Faroe Islands,Europe,53270,53090,52415,48816,48410,45660,1393,39,0.34%,0.00%
210,MNP,Northern Mariana Islands,Oceania,49796,49551,49587,51514,54087,80338,464,108,0.49%,0.00%
211,KNA,Saint Kitts and Nevis,North America,47755,47657,47642,47790,47403,45461,261,184,0.21%,0.00%
212,TCA,Turks and Caicos Islands,North America,46062,45703,44276,36538,29726,18744,948,49,0.79%,0.00%
213,SXM,Sint Maarten,North America,44222,44175,43621,40205,33034,30489,34,1301,0.11%,0.00%
214,ASM,American Samoa,Oceania,43914,44273,46189,51368,54849,58230,199,220,-0.81%,0.00%
215,MHL,Marshall Islands,Oceania,41996,41569,43413,49410,53416,54224,181,233,1.03%,0.00%
216,LIE,Liechtenstein,Europe,39584,39327,38756,37355,35926,33026,160,247,0.65%,0.00%
217,MCO,Monaco,Europe,36297,36469,36922,36760,33178,32465,2.02,18149,-0.47%,0.00%
218,SMR,San Marino,Europe,33642,33660,34007,33570,31608,26823,61,561,-0.05%,0.00%
219,GIB,Gibraltar,Europe,32688,32649,32709,32520,31262,27741,6.8,4807,0.12%,0.00%
220,MAF,Saint Martin,North America,32077,31791,32552,35020,36458,29610,53,642,0.90%,0.00%
221,VGB,British Virgin Islands,North America,31538,31305,30910,29366,27556,20104,151,210,0.74%,0.00%
222,PLW,Palau,Oceania,18058,18055,17972,17794,18540,19726,459,39,0.02%,0.00%
223,COK,Cook Islands,Oceania,17044,17011,17029,17695,17212,15897,240,71,0.19%,0.00%
224,AIA,Anguilla,North America,15899,15857,15585,14525,13172,11047,91,175,0.26%,0.00%
225,NRU,Nauru,Oceania,12780,12668,12315,11185,10241,10377,21,639,0.88%,0.00%
226,WLF,Wallis and Futuna,Oceania,11502,11572,11655,12182,13142,14723,274,42,-0.60%,0.00%
227,TUV,Tuvalu,Oceania,11396,11312,11069,10877,10550,9638,26,380,0.74%,0.00%
228,BLM,Saint Barthelemy,North America,10994,10967,10681,9643,8988,7082,21,440,0.25%,0.00%
229,SPM,Saint Pierre and Miquelon,North America,5840,5862,5906,5978,6052,6274,242,24,-0.38%,0.00%
230,MSR,Montserrat,North America,4386,4390,4500,5059,4938,5138,102,43,-0.09%,0.00%
231,FLK,Falkland Islands,South America,3791,3780,3747,3408,3187,3080,12173,0,0.29%,0.00%
232,NIU,Niue,Oceania,1935,1934,1942,1847,1812,2074,261,7,0.05%,0.00%
233,TKL,Tokelau,Oceania,1893,1871,1827,1454,1367,1666,12,189,1.18%,0.00%
234,VAT,Vatican City,Europe,518,510,520,564,596,651,0.44,1177,1.57%,0.00%
